name	description	inchi	inchi_key
"4(3H)-Quinazolinone, 2-(2-hydroxyphenyl)-
2-(2-Hydroxyphenyl)-4(1H)-quinazolinone
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C14H10N2O2/c17-12-8-4-2-6-10(12)13-15-11-7-3-1-5-9(11)14(18)16-13/h1-8,17H,(H,15,16,18)
"	OVVWPYNVWLHEGE-UHFFFAOYSA-N
"4-Methoxy-1-vinyl-2H-beta-carboline
2H-Pyrido[3,4-b]indole, 1-ethenyl-4-methoxy-
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C14H12N2O/c1-3-10-14-13(12(17-2)8-15-10)9-6-4-5-7-11(9)16-14/h3-8,15H,1H2,2H3
"	KMXKUZAFSGQYGL-UHFFFAOYSA-N
"2H-Pyrido[3,4-b]indole-3-carboxylic acid, ethyl ester
Ethyl 2H-beta-carboline-3-carboxylate
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C14H12N2O2/c1-2-18-14(17)12-7-10-9-5-3-4-6-11(9)16-13(10)8-15-12/h3-8,15H,2H2,1H3
"	QWWODAPIEHJFQG-UHFFFAOYSA-N
"4-Pyridinecarboxylic acid, 2-[(4-hydroxy-3-methoxyphenyl)methylene]hydrazide
N'-(4-Hydroxy-3-methoxybenzylidene)isonicotinohydrazide
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C14H13N3O3/c1-20-13-8-10(2-3-12(13)18)9-16-17-14(19)11-4-6-15-7-5-11/h2-9,18H,1H3,(H,17,19)
"	PSWOBQSIXLVPDV-UHFFFAOYSA-N
"5'-O-{[(2S)-2-Amino-3-carboxypropoxy](hydroxy)phosphoryl}adenosine
Adenosine, 5'-O-[[(2S)-2-amino-3-carboxypropoxy]hydroxyphosphinyl]-
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C14H21N6O9P/c15-6(1-8(21)22)2-27-30(25,26)28-3-7-10(23)11(24)14(29-7)20-5-19-9-12(16)17-4-18-13(9)20/h4-7,10-11,14,23-24H,1-3,15H2,(H,21,22)(H,25,26)(H2,16,17,18)
"	YPSDLXHBBWUOTP-UHFFFAOYSA-N
"2,3,4,5,6-Pentahydroxycyclohexyl 2-acetamido-2-deoxyhexopyranoside
Hexopyranoside, 2,3,4,5,6-pentahydroxycyclohexyl 2-(acetylamino)-2-deoxy-
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C14H25NO11/c1-3(17)15-5-7(19)6(18)4(2-16)25-14(5)26-13-11(23)9(21)8(20)10(22)12(13)24/h4-14,16,18-24H,2H2,1H3,(H,15,17)/t4-,5-,6-,7-,8-,9-,10+,11+,12+,13-,14-/m1/s1
"	MRKTUVZZZRUSQR-DNSWDBFXSA-N
"6H-Indolo[3,2,1-de][1,5]naphthyridin-6-one, 11-hydroxy-
11-Hydroxy-6H-indolo[3,2,1-de][1,5]naphthyridin-6-one
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C14H8N2O2/c17-11-3-1-2-10-13(11)8-6-7-15-9-4-5-12(18)16(10)14(8)9/h1-7,17H
"	KXFAUPPCQVBDBN-UHFFFAOYSA-N
"6H-Indolo[3,2,1-de][1,5]naphthyridin-6-one, 5-hydroxy-4-methoxy-
5-Hydroxy-4-methoxy-6H-indolo[3,2,1-de][1,5]naphthyridin-6-one
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C15H10N2O3/c1-20-14-11-12-9(6-7-16-11)8-4-2-3-5-10(8)17(12)15(19)13(14)18/h2-7,18H,1H3
"	PGFKZUOYIFDMQJ-UHFFFAOYSA-N
"5,7-Dihydroxy-2-(4-hydroxyphenyl)chromenium
1-Benzopyrylium, 5,7-dihydroxy-2-(4-hydroxyphenyl)-
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C15H10O4/c16-10-3-1-9(2-4-10)14-6-5-12-13(18)7-11(17)8-15(12)19-14/h1-8H,(H2-,16,17,18)
"	ZKMZBAABQFUXFE-UHFFFAOYSA-N
"1,4-Naphthalenedione, 2-hydroxy-3-(3-methyl-2-buten-1-yl)-
2-Hydroxy-3-(3-methyl-2-buten-1-yl)-1,4-naphthoquinone
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C15H14O3/c1-9(2)7-8-12-13(16)10-5-3-4-6-11(10)14(17)15(12)18/h3-7,18H,8H2,1-2H3
"	CIEYTVIYYGTCCI-UHFFFAOYSA-N
"(12xi)-Trichothec-9-ene
Trichothec-9-ene, (2alpha,12xi)-
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C15H24O/c1-10-5-7-15(4)13(9-10)16-12-6-8-14(15,3)11(12)2/h9,11-13H,5-8H2,1-4H3
"	FXELQRCNOUMUMW-UHFFFAOYSA-N
"(2Z)-5-(2,3-Dimethyltricyclo[2.2.1.0~2,6~]hept-3-yl)-2-methyl-2-penten-1-ol
2-Penten-1-ol, 5-(2,3-dimethyltricyclo[2.2.1.0~2,6~]hept-3-yl)-2-methyl-, (2Z)-
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C15H24O/c1-10(9-16)5-4-6-14(2)11-7-12-13(8-11)15(12,14)3/h5,11-13,16H,4,6-9H2,1-3H3/b10-5-/t11?,12?,13?,14?,15-
"	PDEQKAVEYSOLJX-NVFXPZDQSA-N
"N~5~-[Amino(sulfoamino)phosphoryl]-L-ornithyl-L-alanyl-N~6~-carbamimidoyl-L-lysine
L-Lysine, N~5~-[amino(sulfoamino)phosphinyl]-L-ornithyl-L-alanyl-N~6~-(aminoiminomethyl)-
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C15H34N9O8PS/c1-9(12(25)23-11(14(27)28)6-2-3-7-20-15(17)18)22-13(26)10(16)5-4-8-21-33(19,29)24-34(30,31)32/h9-11H,2-8,16H2,1H3,(H,22,26)(H,23,25)(H,27,28)(H4,17,18,20)(H,30,31,32)(H4,19,21,24,29)
"	QDAOSMKOZCCWLJ-UHFFFAOYSA-N
	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C16H10BrN3O2/c17-8-5-6-9-12(7-8)19-16(21)13(9)15-14(20-22)10-3-1-2-4-11(10)18-15/h1-7,19,21-22H
"	JBFAMTBDRIBCKO-UHFFFAOYSA-N
"3H-Indol-3-one, 2-(2-hydroxy-1H-indol-3-yl)-
2'-Hydroxy-1'H,3H-2,3'-biindol-3-one
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C16H10N2O2/c19-15-10-6-2-4-8-12(10)17-14(15)13-9-5-1-3-7-11(9)18-16(13)20/h1-8,18,20H
"	JNLNPCNGMHKCKO-UHFFFAOYSA-N
"3H-1,4-Benzodiazepin-2-amine, 7-chloro-N-methyl-5-phenyl-, 4-oxide
7-Chloro-N-methyl-5-phenyl-3H-1,4-benzodiazepin-2-amine 4-oxide
(2Z)-7-Chloro-N-methyl-5-phenyl-1,3-dihydro-2H-1,4-benzodiazepin-2-imine 4-oxide
Methanamine, N-[(2Z)-7-chloro-1,3-dihydro-4-oxido-5-phenyl-2H-1,4-benzodiazepin-2-ylidene]-
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C16H14ClN3O/c1-18-15-10-20(21)16(11-5-3-2-4-6-11)13-9-12(17)7-8-14(13)19-15/h2-9H,10H2,1H3,(H,18,19)
"	ANTSCNMPPGJYLG-UHFFFAOYSA-N
"4-Hydroxy-3-[(2E)-3-(4-hydroxy-3-methoxyphenyl)-2-propenoyl]-6-methyl-2H-pyran-2-one
2H-Pyran-2-one, 4-hydroxy-3-[(2E)-3-(4-hydroxy-3-methoxyphenyl)-1-oxo-2-propen-1-yl]-6-methyl-
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C16H14O6/c1-9-7-13(19)15(16(20)22-9)12(18)6-4-10-3-5-11(17)14(8-10)21-2/h3-8,17,19H,1-2H3/b6-4+
"	LRCLIDIMQAJTGZ-GQCTYLIASA-N
"Methanol, 1-[2,6-dimethyl-5-nitro-4-[2-(trifluoromethyl)phenyl]-3(4H)-pyridinylidene]-1-methoxy-, (E)-
(E)-{2,6-Dimethyl-5-nitro-4-[2-(trifluoromethyl)phenyl]-3(4H)-pyridinylidene}(methoxy)methanol
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C16H15F3N2O4/c1-8-12(15(22)25-3)13(14(21(23)24)9(2)20-8)10-6-4-5-7-11(10)16(17,18)19/h4-7,13,22H,1-3H3/b15-12-
"	YTMCTWONBYRCCU-QINSGFPZSA-N
"(Z)-{2,6-Dimethyl-5-nitro-4-[2-(trifluoromethyl)phenyl]-3(4H)-pyridinylidene}(methoxy)methanol
Methanol, 1-[2,6-dimethyl-5-nitro-4-[2-(trifluoromethyl)phenyl]-3(4H)-pyridinylidene]-1-methoxy-, (Z)-
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C16H15F3N2O4/c1-8-12(15(22)25-3)13(14(21(23)24)9(2)20-8)10-6-4-5-7-11(10)16(17,18)19/h4-7,13,22H,1-3H3/b15-12+
"	YTMCTWONBYRCCU-NTCAYCPXSA-N
"Azirino[2',3':3,4]pyrrolo[1,2-a]indol-7(1H)-one, 8-[[(aminocarbonyl)oxy]methyl]-1a,2,6,8,8a,8b-hexahydro-4-hydroxy-6-imino-8a-methoxy-1,5-dimethyl-
(4-Hydroxy-6-imino-8a-methoxy-1,5-dimethyl-7-oxo-1,1a,2,6,7,8,8a,8b-octahydroazireno[2',3':3,4]pyrrolo[1,2-a]indol-8-yl)methyl carbamate
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C16H20N4O5/c1-6-10(17)13(22)9-7(5-25-15(18)23)16(24-3)14-8(19(14)2)4-20(16)11(9)12(6)21/h7-8,14,17,21H,4-5H2,1-3H3,(H2,18,23)
"	RLZIADDATOMNNY-UHFFFAOYSA-N
"Hydrazinecarboximidamide, 2-[(5-methoxy-1H-indol-3-yl)methylene]-N-pentyl-
2-[(5-Methoxy-1H-indol-3-yl)methylene]-N-pentylhydrazinecarboximidamide
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C16H23N5O/c1-3-4-5-8-18-16(17)21-20-11-12-10-19-15-7-6-13(22-2)9-14(12)15/h6-7,9-11,19H,3-5,8H2,1-2H3,(H3,17,18,21)
"	IKBKZGMPCYNSLU-UHFFFAOYSA-N
"5-({4-[(2-Carboxyethyl)carbamoyl]phenyl}diazenyl)-2-hydroxybenzoic acid
Benzoic acid, 5-[2-[4-[[(2-carboxyethyl)amino]carbonyl]phenyl]diazenyl]-2-hydroxy-
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C17H15N3O6/c21-14-6-5-12(9-13(14)17(25)26)20-19-11-3-1-10(2-4-11)16(24)18-8-7-15(22)23/h1-6,9,21H,7-8H2,(H,18,24)(H,22,23)(H,25,26)
"	IPOKCKJONYRRHP-UHFFFAOYSA-N
"5-Phenyl-1,3,6,7,8,9-hexahydro-2H-[1]benzothieno[2,3-e][1,4]diazepin-2-one
2H-[1]Benzothieno[2,3-e]-1,4-diazepin-2-one, 1,3,6,7,8,9-hexahydro-5-phenyl-
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C17H16N2OS/c20-14-10-18-16(11-6-2-1-3-7-11)15-12-8-4-5-9-13(12)21-17(15)19-14/h1-3,6-7H,4-5,8-10H2,(H,19,20)
"	AIZFEOPQVZBNGH-UHFFFAOYSA-N
"3-Pyridinecarboxylic acid, 4,5-dihydro-5-(hydroxymethoxymethylene)-2,6-dimethyl-4-(2-nitrophenyl)-, methyl ester, (5Z)-
Methyl (5Z)-5-[hydroxy(methoxy)methylene]-2,6-dimethyl-4-(2-nitrophenyl)-4,5-dihydro-3-pyridinecarboxylate
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C17H18N2O6/c1-9-13(16(20)24-3)15(14(10(2)18-9)17(21)25-4)11-7-5-6-8-12(11)19(22)23/h5-8,15,20H,1-4H3/b16-13+
"	HZAYOBLZTKMKJT-DTQAZKPQSA-N
"10H-Thieno[2,3-b][1,5]benzodiazepine, 2-methyl-4-(4-methyl-1-piperazinyl)-
2-Methyl-4-(4-methyl-1-piperazinyl)-10H-thieno[2,3-b][1,5]benzodiazepine
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C17H20N4S/c1-12-11-13-16(21-9-7-20(2)8-10-21)18-14-5-3-4-6-15(14)19-17(13)22-12/h3-6,11,19H,7-10H2,1-2H3
"	KVWDHTXUZHCGIO-UHFFFAOYSA-N
"Benzeneacetic acid, alpha-(hydroxymethyl)-, (1R,5S)-9-methyl-3-oxa-9-azatricyclo[3.3.1.0~2,4~]non-7-yl ester, (alphaS)-
(1R,5S,7s)-9-Methyl-3-oxa-9-azatricyclo[3.3.1.0~2,4~]non-7-yl (2S)-3-hydroxy-2-phenylpropanoate
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C17H21NO4/c1-18-13-7-11(8-14(18)16-15(13)22-16)21-17(20)12(9-19)10-5-3-2-4-6-10/h2-6,11-16,19H,7-9H2,1H3/t11-,12-,13-,14+,15?,16?/m1/s1
"	STECJAGHUSJQJN-MSIGHWPWSA-N
"Benzeneacetic acid, alpha-(hydroxymethyl)-, 9-methyl-9-oxido-3-oxa-9-azatricyclo[3.3.1.0~2,4~]non-7-yl ester
9-Methyl-9-oxido-3-oxa-9-azatricyclo[3.3.1.0~2,4~]non-7-yl tropate
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C17H21NO5/c1-18(21)13-7-11(8-14(18)16-15(13)23-16)22-17(20)12(9-19)10-5-3-2-4-6-10/h2-6,11-16,19H,7-9H2,1H3/t11-,12?,13-,14-,15-,16+,18?/m0/s1
"	GSYQNAMOFFWAPF-LPCKZPPKSA-N
"(3-endo)-8-Methyl-8-azabicyclo[3.2.1]oct-3-yl (2S)-3-hydroxy-2-phenylpropanoate
Benzeneacetic acid, alpha-(hydroxymethyl)-, (3-endo)-8-methyl-8-azabicyclo[3.2.1]oct-3-yl ester, (alphaS)-
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C17H23NO3/c1-18-13-7-8-14(18)10-15(9-13)21-17(20)16(11-19)12-5-3-2-4-6-12/h2-6,13-16,19H,7-11H2,1H3/t13-,14+,15+,16-/m1/s1
"	RKUNBYITZUJHSG-FXUDXRNXSA-N
"Benzeneacetic acid, alpha-(hydroxymethyl)-, (3-endo)-8-methyl-8-azabicyclo[3.2.1]oct-3-yl ester
(3-endo)-8-Methyl-8-azabicyclo[3.2.1]oct-3-yl tropate
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C17H23NO3/c1-18-13-7-8-14(18)10-15(9-13)21-17(20)16(11-19)12-5-3-2-4-6-12/h2-6,13-16,19H,7-11H2,1H3/t13-,14+,15+,16?
"	RKUNBYITZUJHSG-SPUOUPEWSA-N
"3-[4-({[trans-4-(Aminomethyl)cyclohexyl]carbonyl}oxy)phenyl]propanoic acid
Benzenepropanoic acid, 4-[[[trans-4-(aminomethyl)cyclohexyl]carbonyl]oxy]-
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C17H23NO4/c18-11-13-1-6-14(7-2-13)17(21)22-15-8-3-12(4-9-15)5-10-16(19)20/h3-4,8-9,13-14H,1-2,5-7,10-11,18H2,(H,19,20)/t13-,14-
"	FHRSHSOEWXUORL-HDJSIYSDSA-N
"3-[4-({[trans-4-(Aminomethyl)cyclohexyl]carbonyl}oxy)phenyl]propanoic acid
Benzenepropanoic acid, 4-[[[trans-4-(aminomethyl)cyclohexyl]carbonyl]oxy]-
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C17H23NO4/c18-11-13-1-6-14(7-2-13)17(21)22-15-8-3-12(4-9-15)5-10-16(19)20/h3-4,8-9,13-14H,1-2,5-7,10-11,18H2,(H,19,20)/t13?,14-
"	FHRSHSOEWXUORL-XPIONCDUSA-N
"1H-Benzo[b]fluorene-11-diazonium, 2,3,4,9-tetrahydro-1,2,3,4,5,10-hexahydroxy-2-methyl-9-oxo-, inner salt
11-Diazonio-1,2,3,4,10-pentahydroxy-2-methyl-9-oxo-2,3,4,9-tetrahydro-1H-benzo[b]fluoren-5-olate
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C18H14N2O7/c1-18(27)16(25)11-9(15(24)17(18)26)8-10(12(11)20-19)14(23)7-5(13(8)22)3-2-4-6(7)21/h2-4,15-17,24-27H,1H3,(H-,21,22,23)
"	PBAYJNKURMMTNH-UHFFFAOYSA-N
	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C18H14N4O5S/c23-16-9-6-13(11-15(16)18(24)25)21-20-12-4-7-14(8-5-12)28(26,27)22-17-3-1-2-10-19-17/h1-11,23H,(H,19,22)(H,24,25)
"	NCEXYHBECQHGNR-UHFFFAOYSA-N
"2-Hydroxy-5-{(E)-[4-(2-pyridinylsulfamoyl)phenyl]diazenyl}benzoic acid
Benzoic acid, 2-hydroxy-5-[(E)-2-[4-[(2-pyridinylamino)sulfonyl]phenyl]diazenyl]-
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C18H14N4O5S/c23-16-9-6-13(11-15(16)18(24)25)21-20-12-4-7-14(8-5-12)28(26,27)22-17-3-1-2-10-19-17/h1-11,23H,(H,19,22)(H,24,25)/b21-20+
"	NCEXYHBECQHGNR-QZQOTICOSA-N
"(9bR)-2,6-Diacetyl-1,7,9-trihydroxy-8,9b-dimethyldibenzo[b,d]furan-3(9bH)-one
3(9bH)-Dibenzofuranone, 2,6-diacetyl-1,7,9-trihydroxy-8,9b-dimethyl-, (9bR)-
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C18H16O7/c1-6-14(22)12(8(3)20)16-13(15(6)23)18(4)10(25-16)5-9(21)11(7(2)19)17(18)24/h5,22-24H,1-4H3/t18-/m1/s1
"	ICTZCAHDGHPRQR-GOSISDBHSA-N
"Methyl 4-(2,3-dichlorophenyl)-5-[ethoxy(hydroxy)methylene]-2,6-dimethyl-4,5-dihydro-3-pyridinecarboxylate
3-Pyridinecarboxylic acid, 4-(2,3-dichlorophenyl)-5-(ethoxyhydroxymethylene)-4,5-dihydro-2,6-dimethyl-, methyl ester
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C18H19Cl2NO4/c1-5-25-18(23)14-10(3)21-9(2)13(17(22)24-4)15(14)11-7-6-8-12(19)16(11)20/h6-8,15,23H,5H2,1-4H3/b18-14+
"	FFVFHTOPUHZSGD-NBVRZTHBSA-N
